Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Model,Arrow Part Number,Arrow Price/Stock,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,automotive,category,contact material,current rating,device class L1,device class L2,device class L3,digikey description,digikey part number,footprint url,height,is connector,is female,is male,lead free,library id,manufacturer,mouser description,mouser part number,number of contacts,number of rows,package,pitch,rohs,standoff height,temperature range high,temperature range low,voltage rating,Channel Polarity,Ciss Typ pF,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Configuration,Coss Typ pF,Crss Typ pF,Datasheet Version,Mounting Technology,PD Max W,Package Description,Package Type,Package Version,Packing,Qrr Typ nC,VBRDSS Min V,VGSth Max V,ciiva ids,imported,release date,vault revision,automotive grade,continuous drain current,depletion mode,drain to source breakdown voltage,drain to source resistance,drain to source voltage,gate charge at vgs,gate to source voltage,input capacitace at vds,max forward diode voltage,max junction temp,number of N channels,number of channels,power dissipation,pulse drain current,reverse recovery charge,reverse recovery time,rthja max,threshold vgs max,threshold vgs min,transconductance,turn off delay time,turn on delay time,typ forward diode voltage
62,"Resistor, US symbol",R_US,R19,4.99k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-074K99L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Resistor, US symbol",R_US,R29,8.06k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-078K06L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Resistor, US symbol",R_US,R18 R20 R21 R23 R37 R40 R41 R84 R85 R86 R87,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,11,~,RC0805FR-0710KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Resistor, US symbol",R_US,R27,16.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RT0805FRE0716K2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Resistor, US symbol",R_US,R34,20k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-0720KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Resistor, US symbol",R_US,R17,24.9k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-0724K9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Resistor, US symbol",R_US,R24,37.4k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-0737K4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Resistor, US symbol",R_US,R33,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-0747KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Resistor, US symbol",R_US,R26,49.9k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RT0805FRE0749K9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Resistor, US symbol",R_US,R9 R14 R32 R79 R80,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,~,RT0805DRE07100KL RC0805FR-07100KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
